product_id,product_name,brand_name,product_type,price_usd,rating
P472300,Capri Eau de Parfum,19-69,Fragrance,195.0,3.5714
P473670,Capri Eau de Parfum Travel Spray,19-69,Fragrance,30.0,3.5714
P473671,Fragrance Discovery Set,19-69,Fragrance,35.0,3.6364
P473666,Invisible Post Eau de Parfum,19-69,Fragrance,195.0,3.625
P473667,Invisible Post Eau de Parfum Travel Spray,19-69,Fragrance,30.0,3.625
P473660,Kasbah Eau de Parfum,19-69,Fragrance,195.0,4.4762
P473661,Kasbah Eau de Parfum Travel Spray,19-69,Fragrance,30.0,4.4762
P473664,L'air Barbes Eau de Parfum,19-69,Fragrance,195.0,3.0
P473665,L'air Barbes Eau de Parfum Travel Spray,19-69,Fragrance,30.0,3.0
P473668,La Habana Eau de Parfum,19-69,Fragrance,195.0,4.1538
P473658,Purple Haze Eau de Parfum,19-69,Fragrance,195.0,3.2308
P473659,Purple Haze Eau de Parfum Travel Spray,19-69,Fragrance,30.0,3.2308
P473662,Rainbow Bar Eau de Parfum,19-69,Fragrance,195.0,4.25
P473663,Rainbow Bar Eau de Parfum Travel Spray,19-69,Fragrance,30.0,4.25
P476417,African Beauty Butter Collection Deluxe Tin,54 Thrones,Bath & Body,80.0,4.2273
P476418,African Beauty Butter Mini Gift Set,54 Thrones,Bath & Body,29.0,3.561
P476416,AFRICAN Beauty Butter- Intensive Dry Skin Treatment,54 Thrones,Bath & Body,38.0,4.3256
P503832,Mini AFRICAN Beauty Butter- Intensive Dry Skin Treatment,54 Thrones,Bath & Body,12.0,4.5175
P483068,ABBOTT Sampler Set,ABBOTT,Fragrance,26.0,4.8163
P483071,Big Sky Eau de Parfum,ABBOTT,Fragrance,84.0,4.625
P483072,Big Sky Eau de Parfum Travel Spray,ABBOTT,Fragrance,28.0,4.25
P483079,Crescent Beach Perfume,ABBOTT,Fragrance,84.0,4.5882
P483107,Mojave Perfume,ABBOTT,Fragrance,84.0,4.0909
P483109,Montecito Perfume,ABBOTT,Fragrance,84.0,4.1111
P483130,Sequoia Perfume,ABBOTT,Fragrance,84.0,4.619
P483139,The Cape Perfume,ABBOTT,Fragrance,84.0,4.6111
P443401,Blu Mediterraneo Mini Eau de Toilette Set,Acqua di Parma,Mini Size,77.0,3.3333
P163604,Colonia,Acqua di Parma,Fragrance,181.0,4.2125
P380571,Colonia Alcohol-Free Deodorant,Acqua di Parma,Bath & Body,55.0,3.2
P269110,Colonia Essenza,Acqua di Parma,Fragrance,130.0,4.5333
P422289,Colonia Pura,Acqua di Parma,Fragrance,130.0,4.5714
P307804,Mirto di Panarea,Acqua di Parma,Fragrance,84.0,4.4359
P377678,Oud Eau de Parfum,Acqua di Parma,Fragrance,295.0,4.2632
P456550,Yuzu Eau de Parfum,Acqua di Parma,Fragrance,135.0,4.6667
P457232,Baomint Deep Conditioning Treatment,adwoa beauty,Hair,39.0,4.5273
P457233,Baomint Leave In Conditioning Styler,adwoa beauty,Hair,26.0,4.3472
P457236,Baomint Moisturizing Curl Defining Cream,adwoa beauty,Hair,32.0,4.5635
P457235,Baomint Moisturizing Curl Defining Gel,adwoa beauty,Hair,32.0,4.4188
P457234,Baomint Moisturizing Shampoo,adwoa beauty,Hair,24.0,4.1324
P457237,Baomint Protect + Shine Oil Blend,adwoa beauty,Hair,24.0,4.5359
P474804,Blue Tansy Clarifying Gel Shampoo,adwoa beauty,Hair,25.0,4.3109
P474808,Blue Tansy Leave in Conditioning Styler,adwoa beauty,Hair,26.0,4.5762
P474805,Blue Tansy Reparative Conditioner,adwoa beauty,Hair,25.0,4.3495
P474806,Blue Tansy Reparative Mask,adwoa beauty,Hair,40.0,4.7581
P474807,Blue Tansy Treatment Serum,adwoa beauty,Hair,36.0,4.6465
P481372,Melonberry Hair Milk Leave-In Conditioner,adwoa beauty,Hair,24.0,4.3826
P473150,Mini Baomint Deep Conditioning Treatment,adwoa beauty,Hair,15.0,4.2
P473151,Mini Baomint Deluxe Travel Kit,adwoa beauty,Hair,56.0,4.7283
P473152,Mini Baomint Leave-In Conditioning Styler,adwoa beauty,Hair,13.0,
P473153,Mini Baomint Moisturizing Curl Defining Cream,adwoa beauty,Hair,14.0,
P473154,Mini Baomint Moisturizing Curl Defining Gel,adwoa beauty,Hair,14.0,
P473155,Mini Baomint Moisturizing Shampoo,adwoa beauty,Hair,12.0,
P473156,Mini Baomint Protect + Shine Oil Blend,adwoa beauty,Hair,11.0,
P442515,Aegea Blossom Eau de Parfum,AERIN,Fragrance,145.0,4.3529
P388770,Amber Musk,AERIN,Fragrance,145.0,4.3833
P398823,Amber Musk Eau de Parfum Travel Spray,AERIN,Mini Size,35.0,4.1875
P475042,Cedar Violet Eau de Parfum,AERIN,Fragrance,145.0,3.3571
P475043,Cedar Violet Eau de Parfum Travel Spray,AERIN,Fragrance,35.0,3.3571
P428454,Hibiscus Palm Eau de Parfum,AERIN,Fragrance,145.0,4.3333
P460780,Hibiscus Palm Eau de Parfum Travel Spray,AERIN,Fragrance,35.0,4.0714
P388762,Ikat Jasmine,AERIN,Fragrance,200.0,4.3385
P433901,Ikat Jasmine Travel Spray,AERIN,Fragrance,35.0,4.0
P388766,Lilac Path,AERIN,Fragrance,145.0,4.2875
P405269,Mediterranean Honeysuckle,AERIN,Fragrance,145.0,4.2158
P504686,Mediterranean Honeysuckle Clementina,AERIN,Fragrance,145.0,3.5
P405273,Mediterranean Honeysuckle Eau de Parfum Travel Spray,AERIN,Fragrance,35.0,4.2
P481055,Mediterranean Honeysuckle Mimosa Eau de Parfum,AERIN,Fragrance,135.0,3.2
P481056,Mediterranean Honeysuckle Mimosa Eau de Parfum Travel Spray,AERIN,Fragrance,30.0,
P442516,Mini Aegea Blossom Eau de Parfum Travel Spray,AERIN,Fragrance,35.0,3.7059000000000006
P504777,Perfume Sampler Discovery Set,AERIN,Fragrance,25.0,
P433906,Rose De Grasse,AERIN,Fragrance,260.0,4.5278
P471527,Rose De Grasse Pour Filles Eau de Parfum,AERIN,Fragrance,100.0,2.0
P398965,Rose Lip Conditioner,AERIN,Makeup,35.0,4.26
P410846,Tangier Vanille,AERIN,Fragrance,145.0,3.6923
P395768,Waterlily Sun,AERIN,Fragrance,145.0,4.3529
P454825,Wild Geranium,AERIN,Fragrance,145.0,4.6667
P454826,Wild Geranium Travel Spray,AERIN,Fragrance,35.0,4.3333
P500716,10 Day Results Kit,Algenist,Skincare,88.0,4.8023
P447504,AA (Alguronic Acid) Barrier Serum,Algenist,Skincare,85.0,3.97
P379907,Advanced Anti-Aging Repairing Oil,Algenist,Skincare,82.0,4.4531
P471000,Algae Niacinamide Moisture Veil,Algenist,Skincare,65.0,4.6982
P503998,Algae Peptide Regenerative Moisturizer,Algenist,Skincare,98.0,
P442859,ALIVE Prebiotic Balancing Mask,Algenist,Skincare,38.0,4.3729
P442860,ALIVE Prebiotic Balancing Moisturizer SPF 15,Algenist,Skincare,40.0,3.2
P457694,Blue Algae Vitamin C Dark Spot Correcting Peel,Algenist,Skincare,85.0,4.213
P474809,Blue Algae Vitamin C Skinclarity Brightening Serum,Algenist,Skincare,72.0,4.6087
P420638,ELEVATE Advanced Lift Contouring Cream,Algenist,Skincare,96.0,4.3243
P433469,ELEVATE Advanced Retinol Serum,Algenist,Skincare,98.0,4.1026
P410809,ELEVATE Firming & Lifting Contouring Eye Cream,Algenist,Skincare,72.0,3.2581000000000007
P453818,GENIUS Collagen Calming Relief,Algenist,Skincare,58.0,4.464
P432045,GENIUS Liquid Collagen Lip Treatment,Algenist,Skincare,29.0,3.8721
P421277,GENIUS Liquid Collagen Serum,Algenist,Skincare,115.0,4.0259
P480274,GENIUS Liquid Skin Resurfacing 2% BHA Toner,Algenist,Skincare,40.0,4.7939
P439055,GENIUS Sleeping Collagen Moisturizer,Algenist,Skincare,98.0,4.5413
P384537,GENIUS Ultimate Anti-Aging Cream,Algenist,Skincare,112.0,4.2525
P388262,GENIUS Ultimate Anti-Aging Eye Cream,Algenist,Skincare,74.0,3.7759
P388200,GENIUS Ultimate Anti-Aging Melting Cleanser,Algenist,Skincare,38.0,4.0569
P392945,GENIUS Ultimate Anti-Aging Vitamin C+ Serum,Algenist,Skincare,118.0,3.9825
P296413,Gentle Rejuvenating Cleanser,Algenist,Skincare,28.0,4.2689
P456990,Mini GENIUS Liquid Collagen,Algenist,Skincare,25.0,3.4412
