product_id,product_name,brand_name,product_type,price_usd,rating,restricted_ingredient_count,cmr_count
P407907,Sweet Peach Eyeshadow Palette,Too Faced,Makeup,49.0,4.4938,94,0
P480182,REPLICA' Memory Box Perfume Set,Maison Margiela,Fragrance,39.0,3.966,92,0
P482527,Scent DIARY Fragrance Discovery Set,Ellis Brooklyn,Fragrance,32.0,4.3385,90,0
P501965,Archive Kit Sampler Set,Commodity,Fragrance,36.0,3.4,78,0
P473709,Perfume Discovery Set,Floral Street,Fragrance,24.0,3.5405000000000006,67,0
P476672,Fully Booked Rollerball Perfume Gift set,Ellis Brooklyn,Fragrance,48.0,4.4783,60,0
P501769,Ellis Brooklyn BOOKLET Perfume Discovery Set,Ellis Brooklyn,Fragrance,21.0,4.1667,58,0
P501326,Exploration Set,Commodity,Fragrance,42.0,4.9231,57,0
P503601,Discovery Sampler Set,KAYALI,Fragrance,25.0,3.6066,55,0
P480464,Peace Perfume Discovery Set,The 7 Virtues,Fragrance,29.0,4.4875,54,0
P474819,Reserve - Perfume Discovery Set,CLEAN RESERVE,Fragrance,24.0,3.5278,47,0
P501360,Mini Coffret Set,Gucci,Fragrance,65.0,4.4,45,0
P473671,Fragrance Discovery Set,19-69,Fragrance,35.0,3.6364,44,0
P443401,Blu Mediterraneo Mini Eau de Toilette Set,Acqua di Parma,Mini Size,77.0,3.3333,43,0
P448161,Norvina Pro Pigment Palette Vol. 1 for Face & Body,Anastasia Beverly Hills,Makeup,60.0,4.7151,42,0
P392143,Tata's Daily Essentials Kit,Tata Harper,Skincare,75.0,3.65,40,0
P503207,Anima Voyageur Travel Trio Set,World of Chris Collins,Fragrance,130.0,,40,0
P501695,Perfume Sampler Set,Bon Parfumeur,Fragrance,25.0,5.0,39,0
P504777,Perfume Sampler Discovery Set,AERIN,Fragrance,25.0,,39,0
P429602,Natural Eyes Eyeshadow Palette,Too Faced,Makeup,44.0,4.3351,39,0
P470045,Mini Perfume Oil Set,NEST New York,Fragrance,48.0,3.7627,38,0
P505122,Mini Perfume Oil Set,NEST New York,Fragrance,48.0,5.0,36,0
P505138,Mini Perfume Oil Discovery Sampler Set,NEST New York,Fragrance,25.0,,36,0
P500316,Discovery Oil Sampler Set,Maison Louis Marie,Fragrance,54.0,4.6667,35,0
P505471,Maker Perfume Discovery Kit,The Maker,Fragrance,35.0,,35,0
P427525,Clay Play Face Shaping Palette II,tarte,Makeup,49.0,4.1957,35,0
P450845,Norvina Pro Pigment Palette Vol. 2 for Face & Body,Anastasia Beverly Hills,Makeup,60.0,4.5,35,0
P473261,Norvina Pro Pigment Palette Vol. 5 for Face & Body,Anastasia Beverly Hills,Makeup,60.0,4.8206,35,0
P504673,Peace Perfume Discovery Set,The 7 Virtues,Fragrance,25.0,,34,0
P504281,Mini Clean Classic Rollerball Perfume Set,CLEAN RESERVE,Fragrance,22.0,5.0,33,0
P503203,Mini Perfume Set,Versace,Fragrance,35.0,2.0,33,0
P450846,Norvina Pro Pigment Palette Vol. 3 for Face & Body,Anastasia Beverly Hills,Makeup,60.0,4.601,33,0
P450560,Mini Jardin Fragrance Discovery Set,HERMÈS,Fragrance,60.0,4.125,33,0
P473840,Tartelette Juicy Amazonian Clay Eyeshadow Palette,tarte,Makeup,45.0,4.2083,32,0
P500034,Not a Perfume Sampler Set,Juliette Has a Gun,Fragrance,28.0,3.3125,31,0
P503667,Fragrance Discovery Set,By Rosie Jane,Fragrance,25.0,4.7635,31,0
P501710,Fragrance Discovery Set,Boy Smells,Fragrance,25.0,4.537,31,0
P423935,Tartelette Toasted Eyeshadow Palette,tarte,Makeup,45.0,4.4568,31,0
P403812,Tartelette In Bloom Clay Eyeshadow Palette,tarte,Makeup,45.0,4.6624,30,0
P469475,Mini Fragrance Discovery Set,HERMÈS,Fragrance,60.0,4.4063,30,0
P470048,Bestsellers Recruitment Set,Origins,Skincare,29.0,3.881,29,0
P429604,Natural Face Palette,Too Faced,Makeup,44.0,4.5449,29,0
P503592,Daisy Penspray Trio Set,Marc Jacobs Fragrances,Fragrance,55.0,5.0,29,0
P482659,NORVINA Pro Pigment Palette Vol. 6 for Face & Body,Anastasia Beverly Hills,Makeup,60.0,4.703,29,0
P504888,Aqua Bomb Protect & Glow Travel Kit,belif,Skincare,27.0,3.5,28,0
P501414,Miss Dior Blooming Bouquet Lifestyle Gift Set,Dior,Makeup,110.0,2.5,28,0
P480335,Perfume Rollerball Set,NEST New York,Fragrance,23.0,4.5217,28,0
P502297,Good Girl Eau de Parfum Trio Set,Carolina Herrera,Fragrance,35.0,4.75,28,0
P467266,Kitty Likes to Scratch Mini Eyeshadow Palette,Too Faced,Mini Size,29.0,3.9231,28,0
P457246,Norvina Pro Pigment Palette Vol. 4 for Face & Body,Anastasia Beverly Hills,Makeup,60.0,4.5069,27,0
