product_id,product_name,brand_name,product_type,restricted_ingredient_count,cmr_count
P407907,Sweet Peach Eyeshadow Palette,Too Faced,Makeup,94,0
P480182,REPLICA' Memory Box Perfume Set,Maison Margiela,Fragrance,92,0
P482527,Scent DIARY Fragrance Discovery Set,Ellis Brooklyn,Fragrance,90,0
P501965,Archive Kit Sampler Set,Commodity,Fragrance,78,0
P473709,Perfume Discovery Set,Floral Street,Fragrance,67,0
P476672,Fully Booked Rollerball Perfume Gift set,Ellis Brooklyn,Fragrance,60,0
P501769,Ellis Brooklyn BOOKLET Perfume Discovery Set,Ellis Brooklyn,Fragrance,58,0
P501326,Exploration Set,Commodity,Fragrance,57,0
P503601,Discovery Sampler Set,KAYALI,Fragrance,55,0
P480464,Peace Perfume Discovery Set,The 7 Virtues,Fragrance,54,0
P474819,Reserve - Perfume Discovery Set,CLEAN RESERVE,Fragrance,47,0
P501360,Mini Coffret Set,Gucci,Fragrance,45,0
P473671,Fragrance Discovery Set,19-69,Fragrance,44,0
P443401,Blu Mediterraneo Mini Eau de Toilette Set,Acqua di Parma,Mini Size,43,0
P448161,Norvina Pro Pigment Palette Vol. 1 for Face & Body,Anastasia Beverly Hills,Makeup,42,0
P503207,Anima Voyageur Travel Trio Set,World of Chris Collins,Fragrance,40,0
P392143,Tata's Daily Essentials Kit,Tata Harper,Skincare,40,0
P429602,Natural Eyes Eyeshadow Palette,Too Faced,Makeup,39,0
P501695,Perfume Sampler Set,Bon Parfumeur,Fragrance,39,0
P504777,Perfume Sampler Discovery Set,AERIN,Fragrance,39,0
P470045,Mini Perfume Oil Set,NEST New York,Fragrance,38,0
P505122,Mini Perfume Oil Set,NEST New York,Fragrance,36,0
P505138,Mini Perfume Oil Discovery Sampler Set,NEST New York,Fragrance,36,0
P505471,Maker Perfume Discovery Kit,The Maker,Fragrance,35,0
P427525,Clay Play Face Shaping Palette II,tarte,Makeup,35,0
P450845,Norvina Pro Pigment Palette Vol. 2 for Face & Body,Anastasia Beverly Hills,Makeup,35,0
P500316,Discovery Oil Sampler Set,Maison Louis Marie,Fragrance,35,0
P473261,Norvina Pro Pigment Palette Vol. 5 for Face & Body,Anastasia Beverly Hills,Makeup,35,0
P504673,Peace Perfume Discovery Set,The 7 Virtues,Fragrance,34,0
P450560,Mini Jardin Fragrance Discovery Set,HERMÈS,Fragrance,33,0
